papers_title
Dynamic Backtracking
Pac-learning Recursive Logic Programs: Negative Results
When Gravity Fails: Local Search Topology
The Computational Complexity of Probabilistic Planning
QUIP - A Tool for Computing Nonmonotonic Reasoning Tasks
Some Remarks on Boolean Constraint Propagation
Interactive Configuration by Regular String Constraints
"Structure and Problem Hardness: Goal Asymmetry and DPLL Proofs in<br>
  SAT-Based Planning"
Ensemble Learning for Free with Evolutionary Algorithms ?
Learning to Bluff
